Year,Team Name,Division,World Series Result,Division Rank
2010,San Francisco Giants,NL West,Won,1
2010,Texas Rangers,AL West,Lost,1
2011,St. Louis Cardinals,NL Central,Won,2
2011,Texas Rangers,AL West,Lost,1
2012,San Francisco Giants,NL West,Won,1
2012,Detroit Tigers,AL Central,Lost,1
2013,Boston Red Sox,AL East,Won,1
2013,St. Louis Cardinals,NL Central,Lost,1
2014,San Francisco Giants,NL West,Won,2
2014,Kansas City Royals,AL Central,Lost,2
2015,Kansas City Royals,AL Central,Won,1
2015,New York Mets,NL East,Lost,1
2016,Chicago Cubs,NL Central,Won,1
2016,Cleveland Indians,AL Central,Lost,1
2017,Houston Astros,AL West,Won,1
2017,Los Angeles Dodgers,NL West,Lost,1
2018,Boston Red Sox,AL East,Won,1
2018,Los Angeles Dodgers,NL West,Lost,1
2019,Washington Nationals,NL East,Won,2
2019,Houston Astros,AL West,Lost,1
